status,gameweek,seasonId,dateutc,winner,venue,wyId,label,duration,competitionId,team1.side,team1.teamId,team1.score,team2.side,team2.teamId,team2.score
Played,38,181150,2018-05-13 14:00:00,1659,Turf Moor,2500089,"Burnley - AFC Bournemouth, 1 - 2",Regular,364,home,1646,1,away,1659,2
Played,38,181150,2018-05-13 14:00:00,1628,Selhurst Park,2500090,"Crystal Palace - West Bromwich Albion, 2 - 0",Regular,364,home,1628,2,away,1627,0
Played,38,181150,2018-05-13 14:00:00,1609,The John Smith's Stadium,2500091,"Huddersfield Town - Arsenal, 0 - 1",Regular,364,away,1609,1,home,1673,0
Played,38,181150,2018-05-13 14:00:00,1612,Anfield,2500092,"Liverpool - Brighton & Hove Albion, 4 - 0",Regular,364,away,1651,0,home,1612,4
Played,38,181150,2018-05-13 14:00:00,1611,Old Trafford,2500093,"Manchester United - Watford, 1 - 0",Regular,364,away,1644,0,home,1611,1
Played,38,181150,2018-05-13 14:00:00,1613,St. James' Park,2500094,"Newcastle United - Chelsea, 3 - 0",Regular,364,home,1613,3,away,1610,0
Played,38,181150,2018-05-13 14:00:00,1625,St. Mary's Stadium,2500095,"Southampton - Manchester City, 0 - 1",Regular,364,away,1625,1,home,1619,0
Played,38,181150,2018-05-13 14:00:00,1639,Liberty Stadium,2500096,"Swansea City - Stoke City, 1 - 2",Regular,364,home,10531,1,away,1639,2
Played,38,181150,2018-05-13 14:00:00,1624,Wembley Stadium,2500097,"Tottenham Hotspur - Leicester City, 5 - 4",Regular,364,away,1631,4,home,1624,5
Played,38,181150,2018-05-13 14:00:00,1633,London Stadium,2500098,"West Ham United - Everton, 3 - 1",Regular,364,away,1623,1,home,1633,3
Played,31,181150,2018-05-10 18:45:00,0,London Stadium,2500028,"West Ham United - Manchester United, 0 - 0",Regular,364,away,1611,0,home,1633,0
Played,31,181150,2018-05-09 19:00:00,1625,Etihad Stadium,2500024,"Manchester City - Brighton & Hove Albion, 3 - 1",Regular,364,away,1651,1,home,1625,3
Played,31,181150,2018-05-09 19:00:00,1624,Wembley Stadium,2500027,"Tottenham Hotspur - Newcastle United, 1 - 0",Regular,364,away,1613,0,home,1624,1
Played,31,181150,2018-05-09 18:45:00,1631,King Power Stadium,2500022,"Leicester City - Arsenal, 3 - 1",Regular,364,away,1609,1,home,1631,3
Played,35,181150,2018-05-09 18:45:00,0,Stamford Bridge,2500062,"Chelsea - Huddersfield Town, 1 - 1",Regular,364,away,1673,1,home,1610,1
Played,31,181150,2018-05-08 18:45:00,1619,Liberty Stadium,2500026,"Swansea City - Southampton, 0 - 1",Regular,364,away,1619,1,home,10531,0
Played,37,181150,2018-05-06 15:30:00,1609,Emirates Stadium,2500080,"Arsenal - Burnley, 5 - 0",Regular,364,away,1646,0,home,1609,5
Played,37,181150,2018-05-06 15:30:00,1610,Stamford Bridge,2500082,"Chelsea - Liverpool, 1 - 0",Regular,364,away,1612,0,home,1610,1
Played,37,181150,2018-05-06 12:30:00,0,Etihad Stadium,2500085,"Manchester City - Huddersfield Town, 0 - 0",Regular,364,away,1673,0,home,1625,0
Played,37,181150,2018-05-05 16:30:00,0,Goodison Park,2500083,"Everton - Southampton, 1 - 1",Regular,364,away,1619,1,home,1623,1
Played,37,181150,2018-05-05 14:00:00,1659,Vitality Stadium,2500079,"AFC Bournemouth - Swansea City, 1 - 0",Regular,364,home,1659,1,away,10531,0
Played,37,181150,2018-05-05 14:00:00,1633,King Power Stadium,2500084,"Leicester City - West Ham United, 0 - 2",Regular,364,home,1631,0,away,1633,2
Played,37,181150,2018-05-05 14:00:00,1644,Vicarage Road Stadium,2500087,"Watford - Newcastle United, 2 - 1",Regular,364,home,1644,2,away,1613,1
Played,37,181150,2018-05-05 14:00:00,1627,The Hawthorns,2500088,"West Bromwich Albion - Tottenham Hotspur, 1 - 0",Regular,364,home,1627,1,away,1624,0
Played,37,181150,2018-05-05 11:30:00,1628,Bet365 Stadium,2500086,"Stoke City - Crystal Palace, 1 - 2",Regular,364,away,1628,2,home,1639,1
Played,37,181150,2018-05-04 19:00:00,1651,The American Express Community Stadium,2500081,"Brighton & Hove Albion - Manchester United, 1 - 0",Regular,364,home,1651,1,away,1611,0
Played,36,181150,2018-04-30 19:00:00,1624,Wembley Stadium,2500077,"Tottenham Hotspur - Watford, 2 - 0",Regular,364,away,1644,0,home,1624,2
Played,36,181150,2018-04-29 15:30:00,1611,Old Trafford,2500073,"Manchester United - Arsenal, 2 - 1",Regular,364,away,1609,1,home,1611,2
Played,36,181150,2018-04-29 13:15:00,1625,London Stadium,2500078,"West Ham United - Manchester City, 1 - 4",Regular,364,away,1625,4,home,1633,1
Played,36,181150,2018-04-28 16:30:00,1610,Liberty Stadium,2500076,"Swansea City - Chelsea, 0 - 1",Regular,364,away,1610,1,home,10531,0
Played,36,181150,2018-04-28 14:00:00,0,Turf Moor,2500069,"Burnley - Brighton & Hove Albion, 0 - 0",Regular,364,home,1646,0,away,1651,0
Played,36,181150,2018-04-28 14:00:00,1628,Selhurst Park,2500070,"Crystal Palace - Leicester City, 5 - 0",Regular,364,home,1628,5,away,1631,0
Played,36,181150,2018-04-28 14:00:00,1623,The John Smith's Stadium,2500071,"Huddersfield Town - Everton, 0 - 2",Regular,364,home,1673,0,away,1623,2
Played,36,181150,2018-04-28 14:00:00,1627,St. James' Park,2500074,"Newcastle United - West Bromwich Albion, 0 - 1",Regular,364,away,1627,1,home,1613,0
Played,36,181150,2018-04-28 14:00:00,1619,St. Mary's Stadium,2500075,"Southampton - AFC Bournemouth, 2 - 1",Regular,364,away,1659,1,home,1619,2
Played,36,181150,2018-04-28 11:30:00,0,Anfield,2500072,"Liverpool - Stoke City, 0 - 0",Regular,364,home,1612,0,away,1639,0
Played,35,181150,2018-04-23 19:00:00,1623,Goodison Park,2500063,"Everton - Newcastle United, 1 - 0",Regular,364,away,1613,0,home,1623,1
Played,35,181150,2018-04-22 15:30:00,1625,Etihad Stadium,2500065,"Manchester City - Swansea City, 5 - 0",Regular,364,home,1625,5,away,10531,0
Played,35,181150,2018-04-22 12:30:00,1609,Emirates Stadium,2500060,"Arsenal - West Ham United, 4 - 1",Regular,364,home,1609,4,away,1633,1
Played,35,181150,2018-04-22 12:30:00,0,Bet365 Stadium,2500066,"Stoke City - Burnley, 1 - 1",Regular,364,away,1646,1,home,1639,1
Played,35,181150,2018-04-21 14:00:00,0,Vicarage Road Stadium,2500067,"Watford - Crystal Palace, 0 - 0",Regular,364,away,1628,0,home,1644,0
Played,35,181150,2018-04-21 11:30:00,0,The Hawthorns,2500068,"West Bromwich Albion - Liverpool, 2 - 2",Regular,364,home,1627,2,away,1612,2
Played,31,181150,2018-04-19 18:45:00,1610,Turf Moor,2500020,"Burnley - Chelsea, 1 - 2",Regular,364,home,1646,1,away,1610,2
Played,35,181150,2018-04-19 18:45:00,0,King Power Stadium,2500064,"Leicester City - Southampton, 0 - 0",Regular,364,away,1619,0,home,1631,0
Played,35,181150,2018-04-18 18:45:00,1611,Vitality Stadium,2500059,"AFC Bournemouth - Manchester United, 0 - 2",Regular,364,home,1659,0,away,1611,2
Played,35,181150,2018-04-17 18:45:00,0,The American Express Community Stadium,2500061,"Brighton & Hove Albion - Tottenham Hotspur, 1 - 1",Regular,364,home,1651,1,away,1624,1
Played,34,181150,2018-04-16 19:00:00,0,London Stadium,2500058,"West Ham United - Stoke City, 1 - 1",Regular,364,away,1639,1,home,1633,1
Played,34,181150,2018-04-15 15:00:00,1627,Old Trafford,2500053,"Manchester United - West Bromwich Albion, 0 - 1",Regular,364,away,1627,1,home,1611,0
Played,34,181150,2018-04-15 12:30:00,1613,St. James' Park,2500054,"Newcastle United - Arsenal, 2 - 1",Regular,364,away,1609,1,home,1613,2
Played,34,181150,2018-04-14 18:45:00,1625,Wembley Stadium,2500057,"Tottenham Hotspur - Manchester City, 1 - 3",Regular,364,away,1625,3,home,1624,1
Played,34,181150,2018-04-14 16:30:00,1612,Anfield,2500052,"Liverpool - AFC Bournemouth, 3 - 0",Regular,364,away,1659,0,home,1612,3
Played,34,181150,2018-04-14 14:00:00,1646,Turf Moor,2500049,"Burnley - Leicester City, 2 - 1",Regular,364,home,1646,2,away,1631,1
Played,34,181150,2018-04-14 14:00:00,1628,Selhurst Park,2500050,"Crystal Palace - Brighton & Hove Albion, 3 - 2",Regular,364,home,1628,3,away,1651,2
Played,34,181150,2018-04-14 14:00:00,1673,The John Smith's Stadium,2500051,"Huddersfield Town - Watford, 1 - 0",Regular,364,home,1673,1,away,1644,0
Played,34,181150,2018-04-14 14:00:00,0,Liberty Stadium,2500056,"Swansea City - Everton, 1 - 1",Regular,364,home,10531,1,away,1623,1
Played,34,181150,2018-04-14 11:30:00,1610,St. Mary's Stadium,2500055,"Southampton - Chelsea, 2 - 3",Regular,364,away,1610,3,home,1619,2
Played,33,181150,2018-04-08 15:30:00,0,Stamford Bridge,2500042,"Chelsea - West Ham United, 1 - 1",Regular,364,home,1610,1,away,1633,1
Played,33,181150,2018-04-08 13:15:00,1609,Emirates Stadium,2500040,"Arsenal - Southampton, 3 - 2",Regular,364,home,1609,3,away,1619,2
Played,33,181150,2018-04-07 16:30:00,1611,Etihad Stadium,2500045,"Manchester City - Manchester United, 2 - 3",Regular,364,away,1611,3,home,1625,2
Played,33,181150,2018-04-07 14:00:00,0,Vitality Stadium,2500039,"AFC Bournemouth - Crystal Palace, 2 - 2",Regular,364,home,1659,2,away,1628,2
Played,33,181150,2018-04-07 14:00:00,0,The American Express Community Stadium,2500041,"Brighton & Hove Albion - Huddersfield Town, 1 - 1",Regular,364,away,1673,1,home,1651,1
Played,33,181150,2018-04-07 14:00:00,1613,King Power Stadium,2500044,"Leicester City - Newcastle United, 1 - 2",Regular,364,away,1613,2,home,1631,1
Played,33,181150,2018-04-07 14:00:00,1624,Bet365 Stadium,2500046,"Stoke City - Tottenham Hotspur, 1 - 2",Regular,364,home,1639,1,away,1624,2
Played,33,181150,2018-04-07 14:00:00,1646,Vicarage Road Stadium,2500047,"Watford - Burnley, 1 - 2",Regular,364,away,1646,2,home,1644,1
Played,33,181150,2018-04-07 14:00:00,0,The Hawthorns,2500048,"West Bromwich Albion - Swansea City, 1 - 1",Regular,364,home,1627,1,away,10531,1
Played,33,181150,2018-04-07 11:30:00,0,Goodison Park,2500043,"Everton - Liverpool, 0 - 0",Regular,364,away,1612,0,home,1623,0
Played,32,181150,2018-04-01 15:00:00,1624,Stamford Bridge,2500031,"Chelsea - Tottenham Hotspur, 1 - 3",Regular,364,home,1610,1,away,1624,3
