currentTeamId,birthDate,role,wyId,shortName,currentNationalTeamId
1624,1989-03-02,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",36,T. Alderweireld,5629
1624,1987-04-24,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",48,J. Vertonghen,5629
1624,1992-02-14,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",54,C. Eriksen,7712
1646,1990-10-27,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",93,J. Gu\u00f0munds\u00adson,7839
16470,1987-03-31,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",32968,N. Amrabat,16216
1627,1989-08-02,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",261,N. Chadli,5629
9,1988-11-20,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",383,D. Tadi\u0107,17322
1609,1996-05-03,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",230020,A. Iwobi,16823
1619,1988-08-24,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",703,M. Yoshida,12913
1631,1996-12-16,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",265366,W. Ndidi,16823
1609,1988-10-15,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3319,M. \u00d6zil,3148
1625,1994-08-10,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",265673,Bernardo Silva,9905
1610,1981-09-28,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",3551,W. Caballero,12274
2451,1995-04-18,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",134708,D. Origi,-1
676,1992-06-12,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",3802,Philippe Coutinho,6380
1611,1997-10-31,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",397178,M. Rashford,2413
1610,1996-04-10,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",135103,A. Christensen,7712
680,1989-06-07,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",4365,Roque Mesa,-1
1625,1991-07-15,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",70083,Danilo,6380
1625,1988-02-12,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",70086,N. Otamendi,12274
1611,1988-08-01,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",70122,N. Mati\u0107,17322
16467,1991-06-14,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",70156,A. Carrillo,15594
1619,1991-08-31,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",70389,C\u00e9dric Soares,9905
1631,1989-03-15,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",70403,Adrien Silva,9905
1673,1997-01-23,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",332605,Ramadan Sobhi,16129
1628,1989-12-21,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",37725,C. Kouyat\u00e9,19314
1625,1991-06-28,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",38021,K. De Bruyne,5629
674,1993-10-02,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",38093,M. Batshuayi,5629
3161,1993-01-19,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",70965,Jo\u00e3o M\u00e1rio,9905
680,1995-07-09,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",5911,Sandro,-1
1625,1993-08-17,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",71654,Ederson,6380
1611,1994-07-17,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",71703,V. Lindel\u00f6f,7047
1610,1996-01-23,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",235555,R. Loftus-Cheek,2413
1610,1988-08-09,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",105333,Willian,6380
1625,1985-05-04,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",105339,Fernandinho,6380
4487,1994-06-15,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",269676,V. Janssen,-1
1633,1985-04-18,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",7847,\u0141. Fabia\u0144ski,13869
674,1991-05-13,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",7864,F. Coquelin,-1
1610,1985-12-19,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",7887,G. Cahill,2413
1612,1996-04-13,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",237268,M. Gruji\u0107,17322
1611,1993-05-13,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",7905,R. Lukaku,5629
1611,1990-11-07,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",7910,David de Gea,1598
1611,1992-02-21,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",7918,P. Jones,2413
1611,1992-12-15,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",7934,J. Lingard,2413
1611,1993-03-15,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",7936,P. Pogba,4418
1611,1985-07-09,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",7939,A. Young,2413
1633,1988-06-01,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",7941,J. Hern\u00e1ndez,15473
1609,1990-11-26,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",7945,D. Welbeck,2413
1612,1990-06-17,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",7964,J. Henderson,2413
1639,1993-03-10,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",8094,J. Butland,2413
3776,1983-12-22,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",8126,Jos\u00e9 Fonte,9905
10531,1988-05-17,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",8192,M. Olsson,7047
1611,1987-11-22,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",8249,M. Fellaini,5629
1625,1990-05-28,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",8277,K. Walker,2413
1624,1990-07-02,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",8292,D. Rose,2413
1625,1986-04-10,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",8307,V. Kompany,5629
1625,1986-01-08,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",8317,David Silva,1598
1625,1988-06-02,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",8325,S. Ag\u00fcero,12274
1625,1989-11-21,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",8464,F. Delph,2413
1631,1986-11-05,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",8480,K. Schmeichel,7712
1612,1988-03-06,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",8514,S. Mignolet,5629
1610,1990-12-12,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",8625,V. Moses,16823
1631,1993-03-05,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",8653,H. Maguire,2413
1624,1993-07-28,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",8717,H. Kane,2413
1624,1990-09-19,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",8945,K. Trippier,2413
1631,1996-03-10,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",285508,K. Iheanacho,16823
1625,1994-05-28,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",9380,J. Stones,2413
3194,1995-11-16,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",337225,R. Aarons,-1
1623,1994-03-07,"{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",10131,J. Pickford,2413
1639,1990-10-27,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",207164,B. N'Diaye,19314
1619,1996-04-12,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",240032,J. Bednarek,13869
1625,1994-12-08,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",11066,R. Sterling,2413
1624,1987-07-16,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",11152,M. Demb\u00e9l\u00e9,5629
1628,1991-04-07,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",127537,L. Milivojevi\u0107,17322
