city,name,wyId,country
Newcastle upon Tyne,Newcastle United,1613,England
"Huddersfield, West Yorkshire",Huddersfield Town,1673,England
Swansea,Swansea City,10531,Wales
"Bournemouth, Dorset",AFC Bournemouth,1659,England
"Brighton, East Sussex",Brighton & Hove Albion,1651,England
"Burnley, Lancashire",Burnley,1646,England
Leicester,Leicester City,1631,England
London,West Ham United,1633,England
Stoke-on-Trent,Stoke City,1639,England
Watford,Watford,1644,England
Liverpool,Everton,1623,England
West Bromwich,West Bromwich Albion,1627,England
Manchester,Manchester City,1625,England
London,Tottenham Hotspur,1624,England
London,Crystal Palace,1628,England
"Southampton, Hampshire",Southampton,1619,England
Liverpool,Liverpool,1612,England
London,Chelsea,1610,England
Manchester,Manchester United,1611,England
London,Arsenal,1609,England
