currentTeamId,birthYear,role,wyId,shortName,currentNationalTeamId
1624,1989,DEF,36,T. Alderweireld,5629
1624,1987,DEF,48,J. Vertonghen,5629
2975,1994,MID,65596,M. Sabitzer,-1
3770,1990,FWD,66,K. Sig\u00fe\u00f3rsson,-1
1646,1990,MID,93,J. Gu\u00f0munds\u00adson,7839
3187,1987,FWD,122,D. Mertens,5629
696,1992,FWD,151,J. Guidetti,7047
4535,1988,GKP,32923,V. Babacan,4687
2457,1986,DEF,32959,P. Pekar\u00edk,14496
4502,1987,FWD,33235,B. Stancu,-1
13505,1987,DEF,99381,A. J\u0119drzejczyk,13869
3187,1994,FWD,99452,A. Milik,13869
3204,1986,DEF,99661,T. Cionek,13869
3187,1994,MID,99902,P. Zieli\u0144ski,13869
2444,1996,FWD,231139,K. Coman,-1
-1,1982,DEF,101581,V. Berezutski,-1
4488,1985,DEF,101555,T. Hubo\u010dan,14496
3160,1981,DEF,101558,Bruno Alves,9905
676,1989,DEF,3269,Jordi Alba,1598
13886,1986,GKP,101576,I. Akinfeev,14358
3771,1985,DEF,3276,A. Rami,4418
4487,1986,MID,3289,M. Topal,-1
678,1981,FWD,3290,Aduriz,-1
675,1986,DEF,3306,Sergio Ramos,1598
-1,1978,DEF,3307,Ricardo Carvalho,-1
3159,1987,MID,3318,S. Khedira,3148
1609,1988,MID,3319,M. \u00d6zil,3148
2447,1988,MID,3320,N. \u015eahin,-1
3159,1985,FWD,3322,Cristiano Ronaldo,9905
2444,1991,MID,3345,Thiago Alc\u00e2ntara,1598
676,1988,MID,3346,Sergio Busquets,1598
12804,1984,MID,3353,Iniesta,1598
13885,1988,FWD,101669,A. Dzyuba,14358
13888,1984,MID,101699,A. Samedov,14358
679,1992,MID,3443,Koke,1598
679,1985,DEF,3447,Juanfran,-1
4535,1987,MID,3448,A. Turan,-1
676,1988,MID,3476,I. Rakiti\u0107,9598
13885,1988,DEF,101825,I. Smolnikov,14358
682,1984,MID,3541,Bruno,-1
-1,1983,DEF,3570,Eliseu,-1
2451,1995,FWD,134708,D. Origi,-1
679,1991,FWD,3682,A. Griezmann,4418
9192,1993,FWD,134769,Y. Carrasco,5629
4489,1989,DEF,69396,D. Vida,9598
3162,1989,MID,69400,M. Badelj,9598
1610,1994,MID,69404,M. Kova\u010di\u0107,9598
3161,1992,DEF,69409,\u0160. Vrsaljko,9598
2482,1991,FWD,69411,A. Kramari\u0107,9598
1611,1997,FWD,397178,M. Rashford,2413
3158,1991,MID,22566,A. Florenzi,3757
4551,1991,MID,82644,D. Pavelka,-1
13888,1987,MID,101623,D. Glushakov,-1
675,1991,FWD,4498,Lucas V\u00e1zquez,1598
4510,1984,DEF,70090,C. S\u0103punaru,-1
1629,1986,MID,70093,Jo\u00e3o Moutinho,9905
6433,1983,FWD,70100,M. Janko,-1
2447,1989,MID,70123,A. Witsel,5629
680,1986,FWD,70125,Nolito,-1
1629,1988,GKP,70134,Rui Patr\u00edcio,9905
3166,1995,MID,299557,\u00c1. Nagy,10451
19830,1984,GKP,135747,D. Suba\u0161i\u0107,9598
3176,1995,FWD,135810,M. Pjaca,9598
1619,1991,DEF,70389,C\u00e9dric Soares,9905
1631,1989,MID,70403,Adrien Silva,9905
13887,1987,FWD,70410,\u00c9der,-1
3162,1994,DEF,37745,J. Lukaku,-1
684,1992,MID,37762,William Carvalho,9905
3767,1991,DEF,37824,T. Meunier,5629
2481,1989,FWD,37948,A. Finnbogason,7839
1625,1991,MID,38021,K. De Bruyne,5629
1614,1988,MID,38084,B. Bjarnason,7839
674,1993,FWD,38093,M. Batshuayi,5629
3161,1993,MID,70965,Jo\u00e3o M\u00e1rio,9905
677,1993,FWD,6165,F. Andone,11944
1611,1994,DEF,71703,V. Lindel\u00f6f,7047
-1,1981,DEF,101616,J. \u010eurica,14496
13885,1991,FWD,101705,A. Kokorin,-1
13887,1990,FWD,101707,F. Smolov,14358
4510,1982,DEF,105328,O. Kucher,14622
2453,1996,MID,269189,B. Kapustka,13876
3157,1987,DEF,105361,I. Strini\u0107,9598
