city,name,wyId,country
Budapest,Hungary,10451,Hungary
Istanbul,Turkey,4687,Turkey
Moskva,Russia,14358,Russia
Solna,Sweden,7047,Sweden
Frankfurt am Main,Germany,3148,Germany
Tiran\u00eb (Tirana),Albania,8731,Albania
Bucure\u015fti,Romania,11944,Romania
Kyiv (Kiev),Ukraine,14622,Ukraine
Bratislava,Slovakia,14496,Slovakia
Belfast,Northern Ireland,10962,Northern Ireland
Lisboa,Portugal,9905,Portugal
Bruxelles (Brussel),Belgium,5629,Belgium
Cardiff,Wales,10682,Wales
London,England,2413,England
Wien,Austria,9109,Austria
Reykjav\u00edk,Iceland,7839,Iceland
Zagreb,Croatia,9598,Croatia
Dublin,Republic of Ireland,8274,Ireland Republic
Praha,Czech Republic,11555,Czech Republic
Roma,Italy,3757,Italy
Paris,France,4418,France
Las Rozas,Spain,1598,Spain
Bern,Switzerland,6697,Switzerland
Warszawa,Poland,13869,Poland
