status,gameweek,seasonId,dateutc,winner,venue,wyId,label,duration,competitionId,team1.side,team1.teamId,team1.score,team2.side,team2.teamId,team2.score
Played,38,181189,2018-05-19 19:00:00,0,Stade Michel d'Ornano,2501056,"Caen - PSG, 0 - 0",Regular,412,home,3783,0,away,3767,0
Played,38,181189,2018-05-19 19:00:00,0,Stade Gaston-G\u00e9rard,2501057,"Dijon - Angers SCO, 2 - 1",Regular,412,home,3804,2,away,3799,1
Played,38,181189,2018-05-19 19:00:00,3766,Groupama Stadium,2501058,"Olympique Lyonnais - Nice, 3 - 2",Regular,412,home,3766,3,away,3775,2
Played,38,181189,2018-05-19 19:00:00,3771,Stade V\u00e9lodrome,2501059,"Olympique Marseille - Amiens SC, 2 - 1",Regular,412,home,3771,2,away,3789,1
Played,38,181189,2018-05-19 19:00:00,3772,Stade Saint-Symphorien,2501060,"Metz - Bordeaux, 0 - 4",Regular,412,away,3772,4,home,3777,0
Played,38,181189,2018-05-19 19:00:00,3770,Stade de la Beaujoire - Louis Fonteneau,2501061,"Nantes - Strasbourg, 1 - 0",Regular,412,away,3779,0,home,3770,1
Played,38,181189,2018-05-19 19:00:00,0,Roazhon Park,2501062,"Rennes - Montpellier, 1 - 1",Regular,412,away,3787,1,home,3774,1
Played,38,181189,2018-05-19 19:00:00,3782,Stade Geoffroy-Guichard,2501063,"Saint-\u00c9tienne - Lille, 5 - 0",Regular,412,home,3782,5,away,3776,0
Played,38,181189,2018-05-19 19:00:00,3780,Stadium Municipal,2501064,"Toulouse - Guingamp, 2 - 1",Regular,412,home,3780,2,away,3785,1
Played,38,181189,2018-05-19 19:00:00,19830,Stade de l'Aube,2501065,"Troyes - Monaco, 0 - 3",Regular,412,home,3795,0,away,19830,3
Played,37,181189,2018-05-12 19:00:00,3789,Stade de la Licorne,2501046,"Amiens SC - Metz, 2 - 0",Regular,412,home,3789,2,away,3777,0
Played,37,181189,2018-05-12 19:00:00,0,Stade Raymond Kopa,2501047,"Angers SCO - Nantes, 0 - 2",Regular,412,home,3799,0,away,3770,2
Played,37,181189,2018-05-12 19:00:00,3772,Stade Matmut-Atlantique,2501048,"Bordeaux - Toulouse, 4 - 2",Regular,412,home,3772,4,away,3780,2
Played,37,181189,2018-05-12 19:00:00,3776,Stade Pierre-Mauroy,2501050,"Lille - Dijon, 2 - 1",Regular,412,away,3804,1,home,3776,2
Played,37,181189,2018-05-12 18:00:00,19830,Stade Louis II.,2501051,"Monaco - Saint-\u00c9tienne, 1 - 0",Regular,412,away,3782,0,home,19830,1
Played,37,181189,2018-05-12 19:00:00,0,Stade de la Mosson,2501052,"Montpellier - Troyes, 1 - 1",Regular,412,home,3787,1,away,3795,1
Played,37,181189,2018-05-12 18:00:00,3775,Allianz Riviera,2501053,"Nice - Caen, 4 - 1",Regular,412,away,3783,1,home,3775,4
Played,37,181189,2018-05-12 19:00:00,3774,Parc des Princes,2501054,"PSG - Rennes, 0 - 2",Regular,412,home,3767,0,away,3774,2
Played,37,181189,2018-05-12 18:00:00,3779,Stade de la Meinau,2501055,"Strasbourg - Olympique Lyonnais, 3 - 2",Regular,412,away,3766,2,home,3779,3
Played,37,181189,2018-05-11 17:45:00,0,Stade du Roudourou,2501049,"Guingamp - Olympique Marseille, 3 - 3",Regular,412,away,3771,3,home,3785,3
Played,36,181189,2018-05-06 19:05:00,3771,Stade V\u00e9lodrome,2501040,"Olympique Marseille - Nice, 2 - 1",Regular,412,away,3775,1,home,3771,2
Played,36,181189,2018-05-06 15:00:00,19830,Stade Michel d'Ornano,2501037,"Caen - Monaco, 1 - 2",Regular,412,home,3783,1,away,19830,2
Played,36,181189,2018-05-06 15:00:00,3804,Stade Gaston-G\u00e9rard,2501038,"Dijon - Guingamp, 3 - 1",Regular,412,home,3804,3,away,3785,1
Played,36,181189,2018-05-06 15:00:00,3799,Stade Saint-Symphorien,2501041,"Metz - Angers SCO, 1 - 2",Regular,412,away,3799,2,home,3777,1
Played,36,181189,2018-05-06 15:00:00,3787,Stade de la Beaujoire - Louis Fonteneau,2501042,"Nantes - Montpellier, 0 - 2",Regular,412,home,3770,0,away,3787,2
Played,36,181189,2018-05-06 15:00:00,3774,Roazhon Park,2501043,"Rennes - Strasbourg, 2 - 1",Regular,412,away,3779,1,home,3774,2
Played,36,181189,2018-05-06 15:00:00,3776,Stadium Municipal,2501045,"Toulouse - Lille, 2 - 3",Regular,412,away,3776,3,home,3780,2
Played,36,181189,2018-05-06 14:30:00,3766,Groupama Stadium,2501039,"Olympique Lyonnais - Troyes, 3 - 0",Regular,412,home,3766,3,away,3795,0
Played,36,181189,2018-05-06 13:00:00,3772,Stade Geoffroy-Guichard,2501044,"Saint-\u00c9tienne - Bordeaux, 1 - 3",Regular,412,away,3772,3,home,3782,1
Played,36,181189,2018-05-04 17:45:00,0,Stade de la Licorne,2501036,"Amiens SC - PSG, 2 - 2",Regular,412,away,3767,2,home,3789,2
Played,35,181189,2018-04-29 19:00:00,0,Parc des Princes,2501032,"PSG - Guingamp, 2 - 2",Regular,412,home,3767,2,away,3785,2
Played,35,181189,2018-04-29 15:00:00,0,Stade Raymond Kopa,2501026,"Angers SCO - Olympique Marseille, 1 - 1",Regular,412,home,3799,1,away,3771,1
Played,35,181189,2018-04-29 13:00:00,3774,Roazhon Park,2501033,"Rennes - Toulouse, 2 - 1",Regular,412,home,3774,2,away,3780,1
Played,35,181189,2018-04-28 18:00:00,3772,Stade Matmut-Atlantique,2501027,"Bordeaux - Dijon, 3 - 1",Regular,412,away,3804,1,home,3772,3
Played,35,181189,2018-04-28 18:00:00,3776,Stade Pierre-Mauroy,2501028,"Lille - Metz, 3 - 1",Regular,412,away,3777,1,home,3776,3
Played,35,181189,2018-04-28 18:00:00,0,Stade Louis II.,2501030,"Monaco - Amiens SC, 0 - 0",Regular,412,away,3789,0,home,19830,0
Played,35,181189,2018-04-28 18:00:00,0,Stade de la Meinau,2501034,"Strasbourg - Nice, 1 - 1",Regular,412,away,3775,1,home,3779,1
Played,35,181189,2018-04-28 18:00:00,3795,Stade de l'Aube,2501035,"Troyes - Caen, 3 - 1",Regular,412,away,3783,1,home,3795,3
Played,35,181189,2018-04-28 15:00:00,3766,Groupama Stadium,2501029,"Olympique Lyonnais - Nantes, 2 - 0",Regular,412,home,3766,2,away,3770,0
Played,35,181189,2018-04-27 18:45:00,3782,Stade de la Mosson,2501031,"Montpellier - Saint-\u00c9tienne, 0 - 1",Regular,412,home,3787,0,away,3782,1
Played,33,181189,2018-04-25 16:45:00,0,Stade Michel d'Ornano,2501007,"Caen - Toulouse, 0 - 0",Regular,412,home,3783,0,away,3780,0
Played,34,181189,2018-04-22 19:00:00,3767,Stade Matmut-Atlantique,2501017,"Bordeaux - PSG, 0 - 1",Regular,412,away,3767,1,home,3772,0
