currentTeamId,birthDate,role,wyId,shortName,currentNationalTeamId
3775,1999-01-23,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",393228,M. Sarr,4423
3783,1994-08-09,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",229427,A. Djiku,-1
3770,1990-03-14,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",66,K. Sig\u00fe\u00f3rsson,-1
3795,1992-01-01,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",393284,C. Traor\u00e9,-1
3766,1987-05-20,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",102,Marcelo,-1
3766,1994-02-13,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",118,M. Depay,664
3780,1986-07-03,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",123,O. Toivonen,7047
3783,1991-03-01,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",131321,C. Kouakou,-1
3770,1991-09-11,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",229697,Y. Bammou,-1
3795,1991-06-29,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",382,Suk Hyun-Jun,-1
3777,1998-11-14,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",376908,A. Jallow,-1
3772,1994-05-04,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",295569,Ot\u00e1vio,-1
2449,1997-10-21,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",426702,H. Mendyl,16216
3779,1997-03-04,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",394006,M. Terrier,4425
3775,1996-04-11,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",328488,P. Burner,-1
3795,1996-08-14,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",295761,S. Grandsir,4425
3775,1991-07-19,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",131959,J. Seri,-1
-1,1987-04-21,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",99453,P. Nakoulma,-1
3165,1995-05-12,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",99511,M. St\u0119pi\u0144ski,-1
3772,1985-05-30,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",99633,I. Lewczuk,-1
19830,1992-08-24,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",263766,Jemerson,-1
19830,1997-05-07,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",263802,Y. Tielemans,5629
3766,1995-10-09,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",1712,K. Tete,664
3782,1994-03-23,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",1751,O. Tannane,-1
3767,1995-08-13,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",231138,P. Kimpembe,4418
3783,1998-06-05,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",493412,Y. Armougom,-1
3779,1996-12-19,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",493415,K. Zohi,-1
3789,1988-10-23,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",132972,G. Gope-Fenepej,-1
3776,1997-03-29,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",284322,E. Ponce,12281
3785,1996-06-24,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",330387,M. Coco,-1
3780,1994-04-17,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",264989,F. Mubele,18538
4488,1985-09-17,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",101555,T. Hubo\u010dan,14496
3771,1985-12-27,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",3276,A. Rami,4418
3787,1990-10-01,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",3308,Pedro Mendes,-1
3767,1985-03-10,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3315,L. Diarra,-1
3767,1983-05-06,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",3334,Dani Alves,-1
19830,1986-02-10,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",3450,R. Falcao,12430
3767,1992-09-04,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",134540,L. Kurzawa,-1
-1,1990-08-20,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",101795,L. Traor\u00e9,-1
-1,1983-09-10,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3573,J. Toulalan,-1
3782,1994-03-27,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",134797,Hernani,-1
