city,name,wyId,country
Troyes,Troyes,3795,France
Lyon,Olympique Lyonnais,3766,France
Paris,PSG,3767,France
Marseille,Olympique Marseille,3771,France
La Chapelle-sur-Erdre,Nantes,3770,France
Nice,Nice,3775,France
Rennes,Rennes,3774,France
Strasbourg,Strasbourg,3779,France
Angers,Angers,3799,France
Le Haillan,Bordeaux,3772,France
Dijon,Dijon,3804,France
Metz,Metz,3777,France
Saint-\u00c9tienne,Saint-\u00c9tienne,3782,France
Monaco,Monaco,19830,Monaco
Villeneuve-d'Ascq,Lille,3776,France
Caen,Caen,3783,France
Toulouse,Toulouse,3780,France
Montpellier,Montpellier,3787,France
Guingamp,Guingamp,3785,France
Amiens,Amiens SC,3789,France
