currentTeamId,birthYear,role,wyId,shortName,currentNationalTeamId
2975,1999,DEF,393247,I. Konat\u00e9,-1
2975,1994,MID,65596,M. Sabitzer,-1
2443,1985,DEF,77,N. Moisander,4849
2455,1989,FWD,91,C. Benschop,18138
2462,1994,DEF,110,J. Willems,-1
2481,1991,DEF,159,J. Gouweleeuw,-1
2457,1986,DEF,32959,P. Pekar\u00edk,14496
8743,1992,DEF,65880,Andr\u00e9 Ramalho,-1
1651,1988,DEF,16443,L. Balogun,16823
2454,1996,MID,360992,D. Zakaria,6697
2445,1992,DEF,99410,M. Kami\u0144ski,-1
2460,1992,MID,66654,K. Onisiwo,-1
2463,1990,DEF,99437,P. Olkowski,-1
2460,1993,FWD,230687,E. Berggreen,-1
2975,1995,DEF,296341,Bernardo,-1
2453,1987,GKP,99749,R. Gikiewicz,-1
2482,1996,MID,263614,N. Amiri,3155
2446,1994,MID,165425,D. Kohr,-1
7452,1994,FWD,1722,V. Fischer,7712
2451,1996,MID,1729,R. Bazoer,670
2444,1996,FWD,231139,K. Coman,-1
2446,1994,FWD,35477,J. Pohjanpalo,4849
2447,1995,DEF,297957,M. Akanji,6697
2454,1998,FWD,363648,J. Villalba,15519
2444,1993,DEF,3281,Juan Bernat,-1
2444,1995,DEF,134383,N. S\u00fcle,3148
2447,1988,MID,3320,N. \u015eahin,-1
684,1991,DEF,3335,Bartra,-1
2444,1991,MID,3345,Thiago Alc\u00e2ntara,1598
2444,1988,MID,3416,Javi Mart\u00ednez,-1
695,1987,DEF,3460,Coke,-1
2462,1987,MID,3535,J. de Guzm\u00e1n,-1
2451,1990,MID,3566,Camacho,-1
2451,1995,FWD,134708,D. Origi,-1
714,1993,MID,3708,Jairo Samperio,-1
2482,1991,FWD,69411,A. Kramari\u0107,9598
2462,1993,FWD,69616,A. Rebi\u0107,9598
2462,1993,MID,4509,Omar Mascarell,-1
2445,1996,FWD,233910,A. Donis,12678
2444,1991,MID,70096,J. Rodr\u00edguez,12430
2445,1989,DEF,70139,E. Ins\u00faa,-1
2455,1994,DEF,135788,J. Elez,-1
3176,1995,FWD,135810,M. Pjaca,9598
2449,1995,MID,134369,M. Meyer,-1
2462,1995,MID,136011,M. Ga\u0107inovi\u0107,-1
2450,1998,DEF,365441,R. van Drongelen,670
2481,1989,FWD,37948,A. Finnbogason,7839
2481,1990,DEF,38079,D. Opare,17522
2455,1987,DEF,38082,Felipe,-1
2455,1994,FWD,224801,I. Bebou,18374
674,1993,FWD,38093,M. Batshuayi,5629
2462,1996,MID,365880,D. Kamada,-1
2975,1994,FWD,70975,Bruma,-1
2481,1998,DEF,366217,K. Danso,9109
2449,1996,GKP,333477,A. N\u00fcbel,3155
2975,1997,MID,282804,K. Laimer,9116
2460,1996,DEF,235450,A. Diallo,4425
2445,1996,DEF,235597,T. Baumgartl,3155
2449,1996,DEF,235606,T. Kehrer,3155
6411,1993,FWD,6292,K. Kodro,10001
2447,1999,FWD,399599,A. Isak,7054
2449,1993,DEF,6950,Pablo \u00cdnsua,-1
2453,1996,MID,269189,B. Kapustka,13876
2449,1989,MID,105378,Y. Konoplyanka,14622
2454,1996,DEF,236528,N. Elvedi,6697
2482,1998,MID,367621,D. Geiger,-1
2451,1991,FWD,105619,A. Mehmedi,-1
2447,1989,FWD,105622,A. Yarmolenko,14622
2453,1994,MID,269490,F. Kath,-1
2460,1997,MID,302600,S. Serdar,-1
2446,1993,DEF,40657,Wendell,-1
2457,1985,FWD,7904,S. Kalou,-1
2463,1996,FWD,263490,S. Guirassy,-1
2457,1994,DEF,8309,K. Rekik,664
2460,1984,MID,8315,N. de Jong,-1
2449,1989,FWD,8628,F. Di Santo,-1
2453,1996,DEF,336829,R. Koch,-1
2457,1995,DEF,173212,N. Stark,-1
2462,1995,MID,173213,M. Stendera,-1
2975,1996,FWD,173214,T. Werner,3148
2450,1994,DEF,143566,Douglas Santos,-1
2455,1994,FWD,165431,K. Karaman,4687
2975,1990,GKP,9611,P. Gul\u00e1csi,10451
