city,name,wyId,country
M\u00f6nchengladbach,Borussia M'gladbach,2454,Germany
Bremen,Werder Bremen,2443,Germany
Leverkusen,Bayer Leverkusen,2446,Germany
Dortmund,Borussia Dortmund,2447,Germany
M\u00fcnchen,Bayern M\u00fcnchen,2444,Germany
Stuttgart,Stuttgart,2445,Germany
Gelsenkirchen,Schalke 04,2449,Germany
Hannover,Hannover 96,2455,Germany
Berlin,Hertha BSC,2457,Germany
Wolfsburg,Wolfsburg,2451,Germany
Hamburg,Hamburger SV,2450,Germany
Freiburg im Breisgau,Freiburg,2453,Germany
Sinsheim,Hoffenheim,2482,Germany
Augsburg,Augsburg,2481,Germany
Mainz,Mainz 05,2460,Germany
Frankfurt am Main,Eintracht Frankfurt,2462,Germany
K\u00f6ln,K\u00f6ln,2463,Germany
Leipzig,RB Leipzig,2975,Germany
