status,gameweek,seasonId,dateutc,winner,venue,wyId,label,duration,competitionId,team1.side,team1.teamId,team1.score,team2.side,team2.teamId,team2.score
Played,38,181248,2018-05-20 18:45:00,3161,,2576335,"Lazio - Internazionale, 2 - 3",Regular,524,home,3162,2,away,3161,3
Played,38,181248,2018-05-20 18:45:00,3158,MAPEI Stadium - Citt\u00e0 del Tricolore,2576336,"Sassuolo - Roma, 0 - 1",Regular,524,away,3158,1,home,3315,0
Played,38,181248,2018-05-20 16:00:00,3173,,2576329,"Cagliari - Atalanta, 1 - 0",Regular,524,home,3173,1,away,3172,0
Played,38,181248,2018-05-20 16:00:00,3165,,2576330,"Chievo - Benevento, 1 - 0",Regular,524,home,3165,1,away,3219,0
Played,38,181248,2018-05-20 16:00:00,3163,,2576331,"Udinese - Bologna, 1 - 0",Regular,524,away,3166,0,home,3163,1
Played,38,181248,2018-05-20 16:00:00,3187,,2576332,"Napoli - Crotone, 2 - 1",Regular,524,away,3197,1,home,3187,2
Played,38,181248,2018-05-20 16:00:00,3157,,2576333,"Milan - Fiorentina, 5 - 1",Regular,524,home,3157,5,away,3176,1
Played,38,181248,2018-05-20 16:00:00,3204,,2576337,"SPAL - Sampdoria, 3 - 1",Regular,524,away,3164,1,home,3204,3
Played,38,181248,2018-05-20 13:00:00,3185,,2576338,"Genoa - Torino, 1 - 2",Regular,524,away,3185,2,home,3193,1
Played,38,181248,2018-05-19 13:00:00,3159,,2576334,"Juventus - Hellas Verona, 2 - 1",Regular,524,home,3159,2,away,3194,1
Played,37,181248,2018-05-13 18:45:00,0,,2576322,"Roma - Juventus, 0 - 0",Regular,524,home,3158,0,away,3159,0
Played,37,181248,2018-05-13 18:45:00,3187,,2576325,"Sampdoria - Napoli, 0 - 2",Regular,524,away,3187,2,home,3164,0
Played,37,181248,2018-05-13 16:00:00,0,,2576324,"Atalanta - Milan, 1 - 1",Regular,524,home,3172,1,away,3157,1
Played,37,181248,2018-05-13 13:00:00,3173,,2576319,"Fiorentina - Cagliari, 0 - 1",Regular,524,away,3173,1,home,3176,0
