currentTeamId,birthDate,role,wyId,shortName,currentNationalTeamId
3163,1993-12-19,DEF,131184,Ali Adnan,17759
3158,1990-02-13,MID,114,K. Strootman,-1
3187,1987-05-06,FWD,122,D. Mertens,5629
3162,1992-02-05,DEF,130,S. de Vrij,-1
3219,1992-01-30,MID,174,F. \u0110uri\u010di\u0107,-1
3194,1988-06-10,DEF,192,J. Vukovi\u0107,-1
3172,1994-06-05,DEF,295176,R. Gosens,-1
3166,1996-06-07,MID,295273,G. Donsah,17527
3163,1990-05-04,DEF,394,B. Nuytinck,-1
3172,1991-03-29,MID,625,M. de Roon,-1
3158,1996-06-19,MID,328333,L. Pellegrini,3757
3194,1996-02-15,FWD,328336,M. Fares,-1
3158,1991-05-05,GKP,99430,\u0141. Skorupski,-1
3187,1994-02-28,FWD,99452,A. Milik,13869
3315,1981-03-25,GKP,20771,G. Pegolo,-1
3165,1995-05-12,FWD,99511,M. St\u0119pi\u0144ski,-1
3204,1994-08-03,DEF,263432,F. Vicari,-1
3194,1994-07-01,DEF,263433,A. Ferrari,-1
3166,1996-04-16,DEF,361779,C. Keita,19001
3204,1986-04-21,DEF,99661,T. Cionek,13869
3159,1997-06-25,MID,361807,R. Bentancur,15670
3173,1995-08-01,MID,263591,A. Deiola,-1
3164,1992-07-12,DEF,99833,B. Bereszy\u0144ski,13869
3187,1994-05-20,MID,99902,P. Zieli\u0144ski,13869
3172,1995-12-05,DEF,263803,T. Castagne,-1
3172,1995-03-18,GKP,264084,P. Gollini,-1
3194,1996-10-20,MID,388099,E. Bearzotti,-1
3164,1985-12-01,GKP,20802,E. Viviano,-1
3162,1995-03-19,GKP,166534,T. Strakosha,-1
3176,1989-06-10,DEF,22313,V. Laurini,-1
3163,1994-12-03,MID,265172,A. Bar\u00e1k,11555
3161,1993-09-08,DEF,298212,Dalbert,-1
3187,1987-02-11,FWD,3313,Jos\u00e9 Callej\u00f3n,-1
3159,1987-04-04,MID,3318,S. Khedira,3148
3157,1987-12-10,FWD,3323,G. Higua\u00edn,12274
3162,1988-09-05,FWD,101635,F. Caicedo,-1
3173,1994-06-28,GKP,134413,A. Cragno,-1
3161,1993-02-12,MID,3344,Rafinha,-1
3204,1995-05-21,DEF,134420,F. Costa,-1
3159,1994-07-29,DEF,134427,D. Rugani,3757
3164,1995-03-28,MID,134429,L. Capezzi,-1
3204,1995-03-07,MID,134435,A. Grassi,-1
3163,1995-05-07,MID,134508,S. Fofana,-1
3185,1986-09-20,DEF,101742,C. Ansaldi,12274
3158,1987-03-17,DEF,3463,F. Fazio,12274
3158,1988-07-26,FWD,3475,D. Perotti,-1
3162,1992-09-28,MID,3484,Luis Alberto,-1
3157,1990-08-26,DEF,3526,M. Musacchio,-1
3157,1986-09-30,DEF,3531,C. Zapata,12430
-1,1987-02-01,FWD,3548,G. Rossi,-1
