city,name,wyId,country
Ferrara,SPAL,3204,Italy
Milano,Milan,3157,Italy
Torino,Juventus,3159,Italy
Roma,Roma,3158,Italy
Sassuolo,Sassuolo,3315,Italy
Bologna,Bologna,3166,Italy
Genova,Sampdoria,3164,Italy
Verona,Chievo,3165,Italy
Formello,Lazio,3162,Italy
Udine,Udinese,3163,Italy
Milano,Internazionale,3161,Italy
Benevento,Benevento,3219,Italy
Cagliari,Cagliari,3173,Italy
Ciserano,Atalanta,3172,Italy
Firenze,Fiorentina,3176,Italy
Torino,Torino,3185,Italy
Castel Volturno,Napoli,3187,Italy
Crotone,Crotone,3197,Italy
Verona,Hellas Verona,3194,Italy
Genova,Genoa,3193,Italy
