currentTeamId,birthYear,role,wyId,shortName,currentNationalTeamId
683,1990,MID,32793,A. N'Diaye,19314
676,1989,GKP,33,J. Cillessen,664
677,1987,GKP,99,P. Tyto\u0144,-1
696,1992,FWD,151,J. Guidetti,7047
16470,1987,FWD,32968,N. Amrabat,16216
683,1988,DEF,254,R. Rosales,-1
714,1996,FWD,393881,H. Toledo,-1
712,1990,FWD,5481,Guerrero,-1
692,1994,DEF,786,R. Maz\u00e1\u0148,14496
696,1997,DEF,404285,V\u00edctor L\u00f3pez,-1
712,1994,MID,263091,Gumbau,-1
756,1997,DEF,263105,Pablo Maffeo,1604
698,1995,MID,329026,Carlos Calder\u00f3n,-1
678,1995,DEF,230857,Yeray,-1
678,1993,DEF,230862,Lekue,-1
756,1993,MID,230895,Pere Pons,-1
677,1993,MID,230897,Fede Cartabia,-1
3782,1994,FWD,1751,O. Tannane,-1
687,1997,MID,395114,Zubeld\u00eda,1604
692,1996,FWD,395636,Maxi G\u00f3mez,15670
695,1997,MID,264778,M. El Id,-1
682,1995,MID,134174,Samu Castillejo,-1
696,1992,FWD,134249,Rub\u00e9n Sobrino,-1
2447,1998,DEF,396475,A. Hakimi,16216
756,1985,MID,167104,Eloi Amagat,-1
698,1987,GKP,3267,Guaita,-1
676,1989,DEF,3269,Jordi Alba,1598
684,1987,DEF,3270,Barrag\u00e1n,-1
682,1989,DEF,3277,V\u00edctor Ru\u00edz,-1
678,1992,FWD,167119,Sabin Merino,-1
680,1988,MID,3280,\u00c9. Banega,12274
687,1991,MID,3282,Canales,-1
674,1989,MID,3286,Dani Parejo,-1
756,1992,MID,3287,Portu,-1
678,1981,FWD,3290,Aduriz,-1
676,1993,FWD,3291,Paco Alc\u00e1cer,-1
691,1989,FWD,3293,P. Piatti,-1
684,1987,GKP,3296,Ad\u00e1n,-1
696,1992,GKP,3299,Fernando Pacheco,-1
675,1990,DEF,3304,Nacho,1598
675,1986,DEF,3306,Sergio Ramos,1598
675,1993,DEF,3309,R. Varane,4418
675,1988,DEF,3310,Marcelo,6380
691,1987,MID,3317,Granero,-1
675,1987,FWD,3321,K. Benzema,-1
3159,1985,FWD,3322,Cristiano Ronaldo,9905
677,1988,DEF,3325,Juanfran,-1
695,1989,GKP,3330,Oier,-1
684,1991,DEF,3335,Bartra,-1
692,1989,DEF,3337,Font\u00e0s,-1
692,1992,DEF,3338,Sergi G\u00f3mez,-1
674,1991,DEF,3339,Montoya,-1
756,1992,DEF,3340,Muniesa,-1
676,1988,MID,3346,Sergio Busquets,1598
676,1992,DEF,3347,Sergi Roberto,-1
12804,1984,MID,3353,Iniesta,1598
684,1991,FWD,3358,Cristian Tello,-1
676,1987,FWD,3359,L. Messi,12274
684,1986,MID,3384,A. Guardado,15473
1610,1994,GKP,3397,Arrizabalaga,1598
695,1988,GKP,3398,Ra\u00fal Fern\u00e1ndez,-1
756,1981,GKP,3399,Iraizoz,-1
756,1993,DEF,3407,Ramalho,-1
678,1992,DEF,3408,Saborit,-1
678,1989,MID,3409,San Jos\u00e9,-1
678,1989,MID,3414,Iturraspe,-1
678,1987,MID,3420,Susaeta,-1
678,1989,DEF,3421,De Marcos,-1
696,1989,MID,3423,Ibai G\u00f3mez,-1
678,1992,FWD,3425,Muniain,-1
682,1989,GKP,3428,Sergio Asenjo,-1
680,1995,DEF,134503,C. Lenglet,-1
679,1986,DEF,3433,D. God\u00edn,15670
679,1985,DEF,3434,Filipe Luis,6380
679,1992,MID,3443,Koke,1598
679,1985,DEF,3447,Juanfran,-1
677,1988,FWD,3451,Adri\u00e1n L\u00f3pez,-1
680,1993,GKP,3458,Sergio Rico,-1
695,1987,DEF,3460,Coke,-1
695,1991,DEF,3464,Luna,-1
