city,name,wyId,country
Vigo,Celta de Vigo,692,Spain
Barcelona,Espanyol,691,Spain
Vitoria-Gasteiz,Deportivo Alav\u00e9s,696,Spain
Valencia,Levante,695,Spain
Getafe (Madrid),Getafe,698,Spain
Bilbao,Athletic Club,678,Spain
Madrid,Atl\u00e9tico Madrid,679,Spain
Valencia,Valencia,674,Spain
Madrid,Real Madrid,675,Spain
Barcelona,Barcelona,676,Spain
Las Palmas de Gran Canaria,Las Palmas,714,Spain
Legan\u00e9s,Legan\u00e9s,712,Spain
Eibar,Eibar,701,Spain
Girona,Girona,756,Spain
A Coru\u00f1a,Deportivo La Coru\u00f1a,677,Spain
Sevilla,Real Betis,684,Spain
Donostia-San Sebasti\u00e1n,Real Sociedad,687,Spain
Sevilla,Sevilla,680,Spain
Malaga,M\u00e1laga,683,Spain
Villarreal,Villarreal,682,Spain
