status,gameweek,seasonId,dateutc,winner,venue,wyId,label,groupName,duration,competitionId,team1.side,team1.teamId,team1.score,team2.side,team2.teamId,team2.score
Played,0,10078,2018-07-15 15:00:00,4418,Olimpiyskiy stadion Luzhniki,2058017,"France - Croatia, 4 - 2",,Regular,28,away,9598,2,home,4418,4
Played,0,10078,2018-07-14 14:00:00,5629,Stadion Krestovskyi,2058016,"Belgium - England, 2 - 0",,Regular,28,away,2413,0,home,5629,2
Played,0,10078,2018-07-11 18:00:00,9598,Olimpiyskiy stadion Luzhniki,2058015,"Croatia - England, 2 - 1 (E)",,ExtraTime,28,home,9598,1,away,2413,1
Played,0,10078,2018-07-10 18:00:00,4418,Stadion Krestovskyi,2058014,"France - Belgium, 1 - 0",,Regular,28,home,4418,1,away,5629,0
Played,0,10078,2018-07-07 18:00:00,9598,Olimpiyskiy Stadion Fisht,2058012,"Russia - Croatia, 2 - 2 (P)",,Penalties,28,away,9598,1,home,14358,1
Played,0,10078,2018-07-07 14:00:00,2413,Samara Arena,2058013,"Sweden - England, 0 - 2",,Regular,28,away,2413,2,home,7047,0
Played,0,10078,2018-07-06 18:00:00,5629,Kazan' Arena,2058011,"Brazil - Belgium, 1 - 2",,Regular,28,away,5629,2,home,6380,1
Played,0,10078,2018-07-06 14:00:00,4418,Stadion Nizhny Novgorod,2058010,"Uruguay - France, 0 - 2",,Regular,28,away,4418,2,home,15670,0
Played,0,10078,2018-07-03 18:00:00,2413,Otkrytiye Arena,2058009,"Colombia - England, 1 - 1 (P)",,Penalties,28,away,2413,1,home,12430,1
Played,0,10078,2018-07-03 14:00:00,7047,Stadion Krestovskyi,2058008,"Sweden - Switzerland, 1 - 0",,Regular,28,home,7047,1,away,6697,0
Played,0,10078,2018-07-02 18:00:00,5629,Rostov Arena,2058007,"Belgium - Japan, 3 - 2",,Regular,28,home,5629,3,away,12913,2
Played,0,10078,2018-07-02 14:00:00,6380,Samara Arena,2058006,"Brazil - Mexico, 2 - 0",,Regular,28,home,6380,2,away,15473,0
Played,0,10078,2018-07-01 18:00:00,9598,Stadion Nizhny Novgorod,2058005,"Croatia - Denmark, 1 - 1 (P)",,Penalties,28,home,9598,1,away,7712,1
Played,0,10078,2018-07-01 14:00:00,14358,Olimpiyskiy stadion Luzhniki,2058004,"Spain - Russia, 1 - 1 (P)",,Penalties,28,away,14358,1,home,1598,1
Played,0,10078,2018-06-30 18:00:00,15670,Olimpiyskiy Stadion Fisht,2058002,"Uruguay - Portugal, 2 - 1",,Regular,28,home,15670,2,away,9905,1
Played,0,10078,2018-06-30 14:00:00,4418,Kazan' Arena,2058003,"France - Argentina, 4 - 3",,Regular,28,home,4418,4,away,12274,3
Played,3,10078,2018-06-28 18:00:00,5629,Kaliningrad Stadium,2057994,"England - Belgium, 0 - 1",Group G,Regular,28,home,2413,0,away,5629,1
Played,3,10078,2018-06-28 18:00:00,16276,Mordovia Arena,2057995,"Panama - Tunisia, 1 - 2",Group G,Regular,28,home,17929,1,away,16276,2
Played,3,10078,2018-06-28 14:00:00,13869,Volgograd Arena,2058000,"Japan - Poland, 0 - 1",Group H,Regular,28,home,12913,0,away,13869,1
Played,3,10078,2018-06-28 14:00:00,12430,Samara Arena,2058001,"Senegal - Colombia, 0 - 1",Group H,Regular,28,away,12430,1,home,19314,0
Played,3,10078,2018-06-27 18:00:00,6380,Otkrytiye Arena,2057982,"Serbia - Brazil, 0 - 2",Group E,Regular,28,away,6380,2,home,17322,0
Played,3,10078,2018-06-27 18:00:00,0,Stadion Nizhny Novgorod,2057983,"Switzerland - Costa Rica, 2 - 2",Group E,Regular,28,home,6697,2,away,16871,2
Played,3,10078,2018-06-27 14:00:00,7047,Stadion Central'nyj,2057989,"Mexico - Sweden, 0 - 3",Group F,Regular,28,away,7047,3,home,15473,0
Played,3,10078,2018-06-27 14:00:00,14855,Kazan' Arena,2057988,"Korea Republic - Germany, 2 - 0",Group F,Regular,28,away,3148,0,home,14855,2
Played,3,10078,2018-06-26 18:00:00,12274,Stadion Krestovskyi,2057976,"Nigeria - Argentina, 1 - 2",Group D,Regular,28,away,12274,2,home,16823,1
Played,3,10078,2018-06-26 18:00:00,9598,Rostov Arena,2057977,"Iceland - Croatia, 1 - 2",Group D,Regular,28,away,9598,2,home,7839,1
Played,3,10078,2018-06-26 14:00:00,15594,Olimpiyskiy Stadion Fisht,2057971,"Australia - Peru, 0 - 2",Group C,Regular,28,home,8493,0,away,15594,2
Played,3,10078,2018-06-26 14:00:00,0,Olimpiyskiy stadion Luzhniki,2057970,"Denmark - France, 0 - 0",Group C,Regular,28,away,4418,0,home,7712,0
Played,3,10078,2018-06-25 18:00:00,0,Kaliningrad Stadium,2057965,"Spain - Morocco, 2 - 2",Group B,Regular,28,home,1598,2,away,16216,2
Played,3,10078,2018-06-25 18:00:00,0,Mordovia Arena,2057964,"Iran - Portugal, 1 - 1",Group B,Regular,28,away,9905,1,home,10840,1
Played,3,10078,2018-06-25 14:00:00,16521,Volgograd Arena,2057959,"Saudi Arabia - Egypt, 2 - 1",Group A,Regular,28,home,16521,2,away,16129,1
Played,3,10078,2018-06-25 14:00:00,15670,Samara Arena,2057958,"Uruguay - Russia, 3 - 0",Group A,Regular,28,away,14358,0,home,15670,3
Played,2,10078,2018-06-24 18:00:00,12430,Kazan' Arena,2057998,"Poland - Colombia, 0 - 3",Group H,Regular,28,away,12430,3,home,13869,0
Played,2,10078,2018-06-24 15:00:00,0,Stadion Central'nyj,2057999,"Japan - Senegal, 2 - 2",Group H,Regular,28,home,12913,2,away,19314,2
Played,2,10078,2018-06-24 12:00:00,2413,Stadion Nizhny Novgorod,2057993,"England - Panama, 6 - 1",Group G,Regular,28,home,2413,6,away,17929,1
