currentTeamId,birthYear,role,wyId,shortName,currentNationalTeamId
683,1990,MID,32793,A. N'Diaye,19314
1624,1989,DEF,36,T. Alderweireld,5629
1624,1987,DEF,48,J. Vertonghen,5629
1624,1992,MID,54,C. Eriksen,7712
1646,1990,MID,93,J. Gu\u00f0munds\u00adson,7839
3187,1987,FWD,122,D. Mertens,5629
3780,1986,FWD,123,O. Toivonen,7047
16469,1985,MID,142,K. El Ahmadi,16216
696,1992,FWD,151,J. Guidetti,7047
16470,1987,FWD,32968,N. Amrabat,16216
1627,1989,MID,261,N. Chadli,5629
1651,1988,DEF,16443,L. Balogun,16823
9,1988,MID,383,D. Tadi\u0107,17322
9,1986,MID,405,L. Sch\u00f6ne,7712
2454,1996,MID,360992,D. Zakaria,6697
1609,1996,MID,230020,A. Iwobi,16823
1619,1988,DEF,703,M. Yoshida,12913
9607,1995,DEF,332821,T. Ebuehi,16823
13505,1987,DEF,99381,A. J\u0119drzejczyk,13869
13887,1989,DEF,99391,M. Rybus,13869
3187,1994,FWD,99452,A. Milik,13869
3771,1996,DEF,230626,D. \u0106aleta-Car,9598
3204,1986,DEF,99661,T. Cionek,13869
3159,1997,MID,361807,R. Bentancur,15670
27533,1989,DEF,198120,Ali Gabr,16129
3164,1992,DEF,99833,B. Bereszy\u0144ski,13869
3187,1994,MID,99902,P. Zieli\u0144ski,13869
19830,1997,MID,263802,Y. Tielemans,5629
7452,1994,FWD,1722,V. Fischer,7712
3767,1995,DEF,231138,P. Kimpembe,4418
692,1996,FWD,395636,Maxi G\u00f3mez,15670
5654,1992,DEF,115146,M. Trauco,15594
2447,1995,DEF,297957,M. Akanji,6697
1631,1996,MID,265366,W. Ndidi,16823
4502,1993,DEF,265368,A. Shehu,16823
2447,1998,DEF,396475,A. Hakimi,16216
676,1989,DEF,3269,Jordi Alba,1598
13886,1986,GKP,101576,I. Akinfeev,14358
680,1988,MID,3280,\u00c9. Banega,12274
8311,1986,MID,101592,K. Honda,12913
16470,1992,FWD,101606,A. Musa,16823
675,1990,DEF,3304,Nacho,1598
675,1986,DEF,3306,Sergio Ramos,1598
675,1993,DEF,3309,R. Varane,4418
675,1988,DEF,3310,Marcelo,6380
2444,1995,DEF,134383,N. S\u00fcle,3148
3159,1987,MID,3318,S. Khedira,3148
1609,1988,MID,3319,M. \u00d6zil,3148
3159,1985,FWD,3322,Cristiano Ronaldo,9905
3157,1987,FWD,3323,G. Higua\u00edn,12274
2444,1991,MID,3345,Thiago Alc\u00e2ntara,1598
676,1988,MID,3346,Sergio Busquets,1598
7847,1990,MID,3349,J. dos Santos,15473
12804,1984,MID,3353,Iniesta,1598
676,1987,FWD,3359,L. Messi,12274
13885,1988,FWD,101669,A. Dzyuba,14358
684,1986,MID,3384,A. Guardado,15473
13888,1984,MID,101699,A. Samedov,14358
679,1986,DEF,3433,D. God\u00edn,15670
679,1985,DEF,3434,Filipe Luis,6380
679,1992,MID,3443,Koke,1598
9607,1990,MID,3445,E. Salvio,12274
19830,1986,FWD,3450,R. Falcao,12430
3158,1987,DEF,3463,F. Fazio,12274
676,1988,MID,3476,I. Rakiti\u0107,9598
62148,1990,FWD,101796,M. Ure\u00f1a,16871
10788,1984,MID,3509,M. Shojaei,10840
13885,1988,DEF,101825,I. Smolnikov,14358
1625,1994,MID,265673,Bernardo Silva,9905
3157,1986,DEF,3531,C. Zapata,12430
5083,1989,MID,101847,M. Carcela-Gonz\u00e1lez,16216
1610,1981,GKP,3551,W. Caballero,12274
675,1992,MID,3563,Isco,1598
679,1991,FWD,3682,A. Griezmann,4418
62148,1989,FWD,3685,C. Vela,15473
9192,1993,FWD,134769,Y. Carrasco,5629
756,1986,FWD,3714,C. Stuani,15670
3162,1995,MID,265865,S. Milinkovi\u0107-Savi\u0107,17322
687,1988,DEF,3795,H. Moreno,15473
676,1992,FWD,3802,Philippe Coutinho,6380
692,1987,FWD,3840,Iago Aspas,1598
14072,1989,MID,102157,Y. Gazinskiy,14358
4489,1989,DEF,69396,D. Vida,9598
3162,1989,MID,69400,M. Badelj,9598
1610,1994,MID,69404,M. Kova\u010di\u0107,9598
3161,1992,DEF,69409,\u0160. Vrsaljko,9598
2482,1991,FWD,69411,A. Kramari\u0107,9598
675,1986,GKP,3915,K. Navas,16871
1611,1997,FWD,397178,M. Rashford,2413
1610,1996,DEF,135103,A. Christensen,7712
3172,1993,FWD,135150,A. Cornelius,7712
2462,1993,FWD,69616,A. Rebi\u0107,9598
13886,1993,DEF,135207,H. Magn\u00fasson,7839
679,1988,FWD,4338,Diego Costa,1598
6425,1991,FWD,69978,T. Juri\u0107,8493
675,1991,FWD,4498,Lucas V\u00e1zquez,1598
675,1992,DEF,4501,Daniel Carvajal,1598
674,1990,MID,4513,D. Cheryshev,14358
1625,1991,DEF,70083,Danilo,6380
1625,1988,DEF,70086,N. Otamendi,12274
1629,1986,MID,70093,Jo\u00e3o Moutinho,9905
15633,1985,MID,70095,C. Rodr\u00edguez,15670
2444,1991,MID,70096,J. Rodr\u00edguez,12430
1611,1988,MID,70122,N. Mati\u0107,17322
2447,1989,MID,70123,A. Witsel,5629
1629,1988,GKP,70134,Rui Patr\u00edcio,9905
679,1992,DEF,70136,S. Arias,12430
16467,1991,MID,70156,A. Carrillo,15594
19830,1984,GKP,135747,D. Suba\u0161i\u0107,9598
12057,1995,MID,299618,N. N\u00e1ndez,15670
3176,1995,FWD,135810,M. Pjaca,9598
12394,1985,MID,4814,A. Aguilar,12430
1631,1993,DEF,70381,Ricardo Pereira,9905
1619,1991,DEF,70389,C\u00e9dric Soares,9905
1631,1989,MID,70403,Adrien Silva,9905
1673,1997,MID,332605,Ramadan Sobhi,16129
1628,1989,MID,37725,C. Kouyat\u00e9,19314
3157,1986,MID,37732,L. Biglia,12274
684,1992,MID,37762,William Carvalho,9905
3767,1991,DEF,37824,T. Meunier,5629
682,1986,FWD,37831,C. Bacca,12430
-1,1983,GKP,37896,E. Kawashima,12913
2481,1989,FWD,37948,A. Finnbogason,7839
1625,1991,MID,38021,K. De Bruyne,5629
9138,1989,FWD,5295,O. Ighalo,16823
1614,1988,MID,38084,B. Bjarnason,7839
674,1993,FWD,38093,M. Batshuayi,5629
13888,1993,DEF,103668,I. Kutepov,14358
13888,1994,MID,103682,R. Zobnin,14358
3161,1993,MID,70965,Jo\u00e3o M\u00e1rio,9905
1609,1996,MID,333571,L. Torreira,15670
1611,1994,DEF,71703,V. Lindel\u00f6f,7047
1610,1996,MID,235555,R. Loftus-Cheek,2413
3197,1992,FWD,72397,Simy,16823
13887,1990,FWD,101707,F. Smolov,14358
12057,1993,MID,246928,W. Barrios,12430
1610,1988,MID,105333,Willian,6380
3159,1990,MID,105334,Douglas Costa,6380
1625,1985,MID,105339,Fernandinho,6380
3157,1987,DEF,105361,I. Strini\u0107,9598
5655,1984,MID,86340,C. S\u00e1nchez,15670
12510,1990,FWD,50411,A. Prijovi\u0107,17322
3767,1996,FWD,237034,Gon\u00e7alo Guedes,9905
3767,1994,DEF,40539,Marquinhos,6380
9174,1988,MID,40550,Paulinho,6380
1633,1985,GKP,7847,\u0141. Fabia\u0144ski,13869
3159,1990,GKP,7849,W. Szcz\u0119sny,13869
3204,1987,DEF,7850,J. Djourou,6697
676,1985,DEF,7860,T. Vermaelen,5629
1610,1985,DEF,7887,G. Cahill,2413
9132,1987,MID,7898,J. Obi Mikel,16823
1611,1993,FWD,7905,R. Lukaku,5629
1611,1990,GKP,7910,David de Gea,1598
1611,1992,DEF,7918,P. Jones,2413
1611,1992,MID,7934,J. Lingard,2413
1611,1993,MID,7936,P. Pogba,4418
1611,1985,DEF,7939,A. Young,2413
1633,1988,FWD,7941,J. Hern\u00e1ndez,15473
1609,1990,FWD,7945,D. Welbeck,2413
1632,1990,DEF,7954,S. Coates,15670
1612,1990,MID,7964,J. Henderson,2413
676,1987,FWD,7972,L. Su\u00e1rez,15670
675,1992,MID,40756,Casemiro,6380
8508,1990,DEF,8034,D. Boyata,5629
3767,1992,FWD,40810,Neymar,6380
3776,1983,DEF,8126,Jos\u00e9 Fonte,9905
10531,1988,DEF,8192,M. Olsson,7047
3158,1988,MID,8200,S. N'Zonzi,4418
13897,1986,DEF,55983,R. Sigur\u00f0sson,7839
1611,1987,MID,8249,M. Fellaini,5629
1625,1990,DEF,8277,K. Walker,2413
675,1985,MID,8287,L. Modri\u0107,9598
1624,1990,DEF,8292,D. Rose,2413
